Px,Py,Pz,Function,Acoustic,Sunlight,Daylight,GroundLevel,ClosenessRailway,,
0,0,0,Student_housing 8x,0.7,0.7,1,0.3,0.2,,0
0,0,0,Student_housing 4x,,,,,,,1
0,0,0,Student_housing 1x,,,,,,,6
0,0,0,Starter_housing,1,0.9,1,0.3,0.5,,3
0,0,0,Elderly_housing,0.7,0.3,0.5,0.6,0.1,,4
0,0,0,Supermarket,0.2,0.1,0.1,1,0.2,,5
0,0,0,Artgallery,0.7,0.5,1,0.3,0.5,,7
0,0,0,Gym,0.3,0.1,0.3,0.3,0.2,,11
0,0,0,Café,0.5,0.3,0.5,0.3,0.1,,12
0,0,0,Lobby,0.7,0.5,0.5,0.3,0.4,,13
0,0,0,Public_carparking,0.3,0.1,0.1,0.3,0.1,,14
0,0,0,Private_carparking,0.1,0.1,0.5,0.3,0.1,,15
0,0,0,Public_bikeparking,0.5,0.2,0.6,0.4,0.4,,16
0,0,0,Private_bikeparking,,,,,,,17
