Point X,Point Z,Point Y adjusted,Index,Connection Indices,Cluster,Location,Area,graphAreaWeight,Flatness,Blockiness
36.09538938,0,15.86969804,0,"17,10,9,6,5,8",1,Student_housing,3000,1,0,0.5
33.49066668,0,11.35818589,1,"17,10,9,6,5,8",1,Starter_housing,5000,1,0,0.5
29.49999993,0,8.009618902,2,"17,10,9,6,5,8",1,Assisted_housing,3000,1,0,0.5
24.60472227,0,6.227883634,3,"4,16,17",2,Shops,1000,0.8,1,1
19.39527781,0,6.227883621,4,"15,13,3,16,17",3,Startup_office,1000,0.9,0,-1
14.50000006,0,8.009618906,5,"0,1,2",2,Gym,200,0.5,0,0.7
10.50933278,0,11.35818654,6,"2,0,1",1,Community_centre,100,0.7,0,-1
7.904610598,0,15.8696981,7,"8,17",2,Restaurant,500,0.8,0,-1
7,0,21,8,"7,2,1,0,6",1,Co_cooking,200,1,0,-1
14.50000007,0,33.9903811,9,"14,17,12",3,Library,600,0.8,0,0.3
19.39527773,0,35.77211637,10,"17,11",2,Cinematheque,400,0.7,0,1
24.60472219,0,35.77211638,11,"4,17",2,Cafés,400,0.8,0,-1
29.49999994,0,33.99038109,12,"11,17",2,Arcade,400,0.7,0,-1
33.49066722,0,30.64181346,13,"4,16",3,Fab_lab_workshop,200,0.6,0,-1
36.0953894,0,26.1303019,14,"3,15,4",3,Shared_working,1000,0.7,0,-1
